step,g_front_min,g_rear_min,g_required,g_lead,g_follow,g_available,feasible
3000,64.5,64.5,134.0,0.4,135.2,854.5,False
3000,64.5,64.5,134.0,0.9,139.5,849.6,False
3100,64.5,64.5,134.0,0.2,135.2,854.7,False
3100,64.5,64.5,134.0,0.6,139.5,849.9,False
3200,64.5,63.7,133.2,1.9,133.8,854.2,False
3200,64.5,64.5,134.0,0.3,139.5,850.2,False
3300,64.5,64.5,134.0,1.7,135.1,853.2,False
3300,64.5,64.5,134.0,0.0,139.5,850.5,False
3400,64.5,64.5,134.0,1.5,135.1,853.4,False
3400,64.5,64.4,133.9,1.8,139.3,848.9,False
3500,64.5,64.5,134.0,1.3,135.1,853.6,False
3500,64.5,64.5,134.0,1.4,139.4,849.2,False
3600,64.5,64.5,134.0,1.1,135.1,853.8,False
3600,64.5,64.5,134.0,1.2,139.4,849.4,False
0,0,4.5,4.5,14.0,605.0,25.0,360.0,True
0,1,4.5,4.5,14.0,605.0,25.0,360.0,True
0,2,4.5,4.5,14.0,55.0,25.0,910.0,True
0,3,4.5,4.5,14.0,55.0,25.0,910.0,True
0,4,4.5,4.5,14.0,55.0,25.0,910.0,True
0,5,4.5,4.5,14.0,55.0,25.0,910.0,True
0,6,4.5,4.5,14.0,55.0,25.0,910.0,True
0,7,4.5,4.5,14.0,55.0,25.0,910.0,True
0,8,4.5,4.5,14.0,55.0,25.0,910.0,True
0,9,4.5,4.5,14.0,55.0,25.0,910.0,True
0,10,4.5,4.5,14.0,55.0,25.0,910.0,True
0,11,4.5,4.5,14.0,55.0,25.0,910.0,True
0,12,4.5,4.5,14.0,55.0,25.0,910.0,True
0,13,4.5,4.5,14.0,55.0,25.0,910.0,True
0,14,4.5,4.5,14.0,55.0,575.0,360.0,True
0,0,4.5,4.5,14.0,605.0,25.0,360.0,True
0,1,4.5,4.5,14.0,605.0,25.0,360.0,True
0,2,4.5,4.5,14.0,55.0,25.0,910.0,True
0,3,4.5,4.5,14.0,55.0,25.0,910.0,True
0,4,4.5,4.5,14.0,55.0,25.0,910.0,True
0,5,4.5,4.5,14.0,55.0,25.0,910.0,True
0,6,4.5,4.5,14.0,55.0,25.0,910.0,True
0,7,4.5,4.5,14.0,55.0,25.0,910.0,True
0,8,4.5,4.5,14.0,55.0,25.0,910.0,True
0,9,4.5,4.5,14.0,55.0,25.0,910.0,True
0,10,4.5,4.5,14.0,55.0,25.0,910.0,True
0,11,4.5,4.5,14.0,55.0,25.0,910.0,True
0,12,4.5,4.5,14.0,55.0,25.0,910.0,True
0,13,4.5,4.5,14.0,55.0,25.0,910.0,True
0,14,4.5,4.5,14.0,55.0,575.0,360.0,True
100,0,31.1,31.1,67.2,605.0,25.0,360.0,False
100,1,31.1,31.5,67.6,25.0,25.0,940.0,False
100,2,31.5,31.5,68.0,25.0,25.0,940.0,False
100,3,31.5,31.5,68.0,25.0,25.0,940.0,False
100,4,31.5,31.5,68.0,25.0,25.0,940.0,False
100,5,31.5,31.5,68.0,25.0,25.0,940.0,False
100,6,31.5,31.5,68.0,25.0,25.0,940.0,False
100,7,31.5,31.5,68.0,25.0,25.0,940.0,False
100,8,31.5,31.5,68.0,25.0,25.0,940.0,False
